GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100059,448,1626153,Delon Wright,1610612737,Atlanta Hawks,3,2,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,65,44,1,1,20211027,NOP,ATL
Shot Chart Detail,0022100059,461,1626153,Delon Wright,1610612737,Atlanta Hawks,3,1,31,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-26,69,1,0,20211027,NOP,ATL
Shot Chart Detail,0022100059,469,1626153,Delon Wright,1610612737,Atlanta Hawks,3,0,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,197,1,1,20211027,NOP,ATL
Shot Chart Detail,0022100059,501,1626153,Delon Wright,1610612737,Atlanta Hawks,4,9,28,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,1,20211027,NOP,ATL
Shot Chart Detail,0022100066,177,1626153,Delon Wright,1610612737,Atlanta Hawks,2,10,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20211028,WAS,ATL
Shot Chart Detail,0022100082,606,1626153,Delon Wright,1610612737,Atlanta Hawks,4,4,59,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-27,106,1,0,20211030,PHI,ATL
Shot Chart Detail,0022100097,500,1626153,Delon Wright,1610612737,Atlanta Hawks,4,9,36,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20211101,ATL,WAS
Shot Chart Detail,0022100152,484,1626153,Delon Wright,1610612737,Atlanta Hawks,3,1,21,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,169,1,0,20211108,GSW,ATL
Shot Chart Detail,0022100152,508,1626153,Delon Wright,1610612737,Atlanta Hawks,3,0,1,Missed Shot,Running Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,51,-22,515,1,0,20211108,GSW,ATL
Shot Chart Detail,0022100156,141,1626153,Delon Wright,1610612737,Atlanta Hawks,1,0,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-62,164,1,0,20211109,UTA,ATL
Shot Chart Detail,0022100156,169,1626153,Delon Wright,1610612737,Atlanta Hawks,2,10,19,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,66,56,1,0,20211109,UTA,ATL
Shot Chart Detail,0022100156,181,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-152,190,1,0,20211109,UTA,ATL
Shot Chart Detail,0022100156,501,1626153,Delon Wright,1610612737,Atlanta Hawks,4,8,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,164,1,0,20211109,UTA,ATL
Shot Chart Detail,0022100182,126,1626153,Delon Wright,1610612737,Atlanta Hawks,1,1,30,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,63,1,0,20211112,DEN,ATL
Shot Chart Detail,0022100182,172,1626153,Delon Wright,1610612737,Atlanta Hawks,2,11,4,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,67,1,0,20211112,DEN,ATL
Shot Chart Detail,0022100193,191,1626153,Delon Wright,1610612737,Atlanta Hawks,2,10,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-2,1,0,20211114,ATL,MIL
Shot Chart Detail,0022100193,474,1626153,Delon Wright,1610612737,Atlanta Hawks,3,1,58,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-97,239,1,1,20211114,ATL,MIL
Shot Chart Detail,0022100202,138,1626153,Delon Wright,1610612737,Atlanta Hawks,1,1,42,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,56,1,1,20211115,ATL,ORL
Shot Chart Detail,0022100202,533,1626153,Delon Wright,1610612737,Atlanta Hawks,4,8,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,232,1,1,20211115,ATL,ORL
Shot Chart Detail,0022100215,171,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,24,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,10,1,0,20211117,ATL,BOS
Shot Chart Detail,0022100215,205,1626153,Delon Wright,1610612737,Atlanta Hawks,2,6,28,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,124,215,1,0,20211117,ATL,BOS
Shot Chart Detail,0022100215,432,1626153,Delon Wright,1610612737,Atlanta Hawks,3,1,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-38,253,1,1,20211117,ATL,BOS
Shot Chart Detail,0022100242,128,1626153,Delon Wright,1610612737,Atlanta Hawks,1,2,24,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,0,20211120,ATL,CHA
Shot Chart Detail,0022100255,176,1626153,Delon Wright,1610612737,Atlanta Hawks,2,10,21,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,32,1,1,20211122,ATL,OKC
Shot Chart Detail,0022100255,216,1626153,Delon Wright,1610612737,Atlanta Hawks,2,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-70,249,1,0,20211122,ATL,OKC
Shot Chart Detail,0022100255,459,1626153,Delon Wright,1610612737,Atlanta Hawks,3,1,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,27,1,1,20211122,ATL,OKC
Shot Chart Detail,0022100277,71,1626153,Delon Wright,1610612737,Atlanta Hawks,1,6,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,87,50,1,0,20211124,SAS,ATL
Shot Chart Detail,0022100277,84,1626153,Delon Wright,1610612737,Atlanta Hawks,1,4,41,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,105,61,1,1,20211124,SAS,ATL
Shot Chart Detail,0022100277,185,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,152,224,1,0,20211124,SAS,ATL
Shot Chart Detail,0022100277,491,1626153,Delon Wright,1610612737,Atlanta Hawks,4,11,11,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,76,1,0,20211124,SAS,ATL
Shot Chart Detail,0022100277,584,1626153,Delon Wright,1610612737,Atlanta Hawks,4,3,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,26,1,0,20211124,SAS,ATL
Shot Chart Detail,0022100285,115,1626153,Delon Wright,1610612737,Atlanta Hawks,1,3,12,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,5,1,0,20211126,MEM,ATL
Shot Chart Detail,0022100285,191,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,0,20211126,MEM,ATL
Shot Chart Detail,0022100285,237,1626153,Delon Wright,1610612737,Atlanta Hawks,2,7,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,1,20211126,MEM,ATL
Shot Chart Detail,0022100285,597,1626153,Delon Wright,1610612737,Atlanta Hawks,4,4,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,50,1,0,20211126,MEM,ATL
Shot Chart Detail,0022100293,132,1626153,Delon Wright,1610612737,Atlanta Hawks,2,11,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,0,20211127,ATL,NYK
Shot Chart Detail,0022100293,450,1626153,Delon Wright,1610612737,Atlanta Hawks,4,11,9,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,41,1,0,20211127,ATL,NYK
Shot Chart Detail,0022100293,460,1626153,Delon Wright,1610612737,Atlanta Hawks,4,10,7,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,6,1,0,20211127,ATL,NYK
Shot Chart Detail,0022100293,471,1626153,Delon Wright,1610612737,Atlanta Hawks,4,9,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20211127,ATL,NYK
Shot Chart Detail,0022100319,97,1626153,Delon Wright,1610612737,Atlanta Hawks,1,3,9,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,1,1,1,20211201,IND,ATL
Shot Chart Detail,0022100319,101,1626153,Delon Wright,1610612737,Atlanta Hawks,1,2,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,8,1,1,20211201,IND,ATL
Shot Chart Detail,0022100319,161,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,191,173,1,1,20211201,IND,ATL
Shot Chart Detail,0022100319,164,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,20,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,47,1,0,20211201,IND,ATL
Shot Chart Detail,0022100319,477,1626153,Delon Wright,1610612737,Atlanta Hawks,4,9,24,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-29,80,1,0,20211201,IND,ATL
Shot Chart Detail,0022100319,483,1626153,Delon Wright,1610612737,Atlanta Hawks,4,9,1,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20211201,IND,ATL
Shot Chart Detail,0022100335,192,1626153,Delon Wright,1610612737,Atlanta Hawks,2,8,14,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,28,1,1,20211203,ATL,PHI
Shot Chart Detail,0022100335,433,1626153,Delon Wright,1610612737,Atlanta Hawks,3,4,6,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,0,20211203,ATL,PHI
Shot Chart Detail,0022100350,397,1626153,Delon Wright,1610612737,Atlanta Hawks,3,4,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,15,245,1,1,20211205,ATL,CHA
Shot Chart Detail,0022100359,183,1626153,Delon Wright,1610612737,Atlanta Hawks,2,10,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,75,238,1,1,20211206,MIN,ATL
Shot Chart Detail,0022100359,190,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,18,1,0,20211206,MIN,ATL
Shot Chart Detail,0022100384,131,1626153,Delon Wright,1610612737,Atlanta Hawks,1,0,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,200,1,0,20211210,ATL,BKN
Shot Chart Detail,0022100384,195,1626153,Delon Wright,1610612737,Atlanta Hawks,2,8,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,34,79,1,0,20211210,ATL,BKN
Shot Chart Detail,0022100384,522,1626153,Delon Wright,1610612737,Atlanta Hawks,4,11,37,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-189,0,1,0,20211210,ATL,BKN
Shot Chart Detail,0022100407,195,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,59,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,48,91,1,0,20211213,ATL,HOU
Shot Chart Detail,0022100407,213,1626153,Delon Wright,1610612737,Atlanta Hawks,2,8,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-33,62,1,1,20211213,ATL,HOU
Shot Chart Detail,0022100418,516,1626153,Delon Wright,1610612737,Atlanta Hawks,4,9,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-110,227,1,0,20211215,ORL,ATL
Shot Chart Detail,0022100434,640,1626153,Delon Wright,1610612737,Atlanta Hawks,4,1,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20211217,ATL,DEN
Shot Chart Detail,0022100434,660,1626153,Delon Wright,1610612737,Atlanta Hawks,4,0,50,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-23,267,1,1,20211217,ATL,DEN
Shot Chart Detail,0022100452,183,1626153,Delon Wright,1610612737,Atlanta Hawks,2,9,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,50,1,1,20220331,ATL,CLE
Shot Chart Detail,0022100452,187,1626153,Delon Wright,1610612737,Atlanta Hawks,2,8,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-47,263,1,1,20220331,ATL,CLE
Shot Chart Detail,0022100452,507,1626153,Delon Wright,1610612737,Atlanta Hawks,4,10,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-4,1,1,20220331,ATL,CLE
Shot Chart Detail,0022100470,255,1626153,Delon Wright,1610612737,Atlanta Hawks,2,5,2,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,13,1,0,20211222,ATL,ORL
Shot Chart Detail,0022100470,277,1626153,Delon Wright,1610612737,Atlanta Hawks,2,3,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,9,1,1,20211222,ATL,ORL
Shot Chart Detail,0022100470,365,1626153,Delon Wright,1610612737,Atlanta Hawks,3,8,6,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,52,1,0,20211222,ATL,ORL
Shot Chart Detail,0022100470,444,1626153,Delon Wright,1610612737,Atlanta Hawks,3,2,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,10,1,0,20211222,ATL,ORL
Shot Chart Detail,0022100470,513,1626153,Delon Wright,1610612737,Atlanta Hawks,4,8,54,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-13,257,1,1,20211222,ATL,ORL
Shot Chart Detail,0022100470,518,1626153,Delon Wright,1610612737,Atlanta Hawks,4,8,14,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211222,ATL,ORL
Shot Chart Detail,0022100470,523,1626153,Delon Wright,1610612737,Atlanta Hawks,4,7,43,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211222,ATL,ORL
Shot Chart Detail,0022100470,661,1626153,Delon Wright,1610612737,Atlanta Hawks,4,0,14,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-44,95,1,0,20211222,ATL,ORL
Shot Chart Detail,0022100478,29,1626153,Delon Wright,1610612737,Atlanta Hawks,1,8,41,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-78,47,1,0,20211223,PHI,ATL
Shot Chart Detail,0022100478,54,1626153,Delon Wright,1610612737,Atlanta Hawks,1,5,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-4,1,0,20211223,PHI,ATL
Shot Chart Detail,0022100478,353,1626153,Delon Wright,1610612737,Atlanta Hawks,3,8,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,194,1,1,20211223,PHI,ATL
Shot Chart Detail,0022100478,398,1626153,Delon Wright,1610612737,Atlanta Hawks,3,5,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-102,158,1,1,20211223,PHI,ATL
Shot Chart Detail,0022100478,437,1626153,Delon Wright,1610612737,Atlanta Hawks,3,2,10,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,108,219,1,0,20211223,PHI,ATL
Shot Chart Detail,0022100488,32,1626153,Delon Wright,1610612737,Atlanta Hawks,1,9,39,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-6,101,1,0,20211225,NYK,ATL
Shot Chart Detail,0022100488,34,1626153,Delon Wright,1610612737,Atlanta Hawks,1,9,35,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,37,1,0,20211225,NYK,ATL
Shot Chart Detail,0022100488,50,1626153,Delon Wright,1610612737,Atlanta Hawks,1,8,18,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,6,1,0,20211225,NYK,ATL
Shot Chart Detail,0022100488,65,1626153,Delon Wright,1610612737,Atlanta Hawks,1,7,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-145,210,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,87,1626153,Delon Wright,1610612737,Atlanta Hawks,1,5,6,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,118,1626153,Delon Wright,1610612737,Atlanta Hawks,1,2,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-173,195,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,224,1626153,Delon Wright,1610612737,Atlanta Hawks,2,7,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,169,180,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,356,1626153,Delon Wright,1610612737,Atlanta Hawks,3,9,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,222,111,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,386,1626153,Delon Wright,1610612737,Atlanta Hawks,3,6,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,163,212,1,0,20211225,NYK,ATL
Shot Chart Detail,0022100488,405,1626153,Delon Wright,1610612737,Atlanta Hawks,3,4,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,10,1,0,20211225,NYK,ATL
Shot Chart Detail,0022100488,410,1626153,Delon Wright,1610612737,Atlanta Hawks,3,4,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,558,1626153,Delon Wright,1610612737,Atlanta Hawks,4,5,52,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,69,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100488,570,1626153,Delon Wright,1610612737,Atlanta Hawks,4,4,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,1,20211225,NYK,ATL
Shot Chart Detail,0022100560,150,1626153,Delon Wright,1610612737,Atlanta Hawks,2,10,51,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-135,243,1,1,20220103,POR,ATL
Shot Chart Detail,0022100560,185,1626153,Delon Wright,1610612737,Atlanta Hawks,2,7,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,41,1,0,20220103,POR,ATL
Shot Chart Detail,0022100560,446,1626153,Delon Wright,1610612737,Atlanta Hawks,3,1,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,180,188,1,0,20220103,POR,ATL
Shot Chart Detail,0022100560,490,1626153,Delon Wright,1610612737,Atlanta Hawks,4,10,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,10,1,0,20220103,POR,ATL
Shot Chart Detail,0022100560,592,1626153,Delon Wright,1610612737,Atlanta Hawks,4,1,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,16,1,1,20220103,POR,ATL
Shot Chart Detail,0022100577,31,1626153,Delon Wright,1610612737,Atlanta Hawks,1,9,57,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,16,1,1,20220105,SAC,ATL
Shot Chart Detail,0022100577,49,1626153,Delon Wright,1610612737,Atlanta Hawks,1,8,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,49,170,1,1,20220105,SAC,ATL
Shot Chart Detail,0022100577,68,1626153,Delon Wright,1610612737,Atlanta Hawks,1,6,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-44,262,1,0,20220105,SAC,ATL
Shot Chart Detail,0022100577,228,1626153,Delon Wright,1610612737,Atlanta Hawks,2,6,55,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,161,206,1,0,20220105,SAC,ATL
Shot Chart Detail,0022100577,285,1626153,Delon Wright,1610612737,Atlanta Hawks,2,2,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20220105,SAC,ATL
Shot Chart Detail,0022100577,314,1626153,Delon Wright,1610612737,Atlanta Hawks,2,0,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,16,1,1,20220105,SAC,ATL
Shot Chart Detail,0022100577,391,1626153,Delon Wright,1610612737,Atlanta Hawks,3,5,51,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,0,20220105,SAC,ATL
Shot Chart Detail,0022100577,478,1626153,Delon Wright,1610612737,Atlanta Hawks,4,11,5,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,8,1,0,20220105,SAC,ATL
