GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,41700171,330,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,42,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-119,285,1,1,20180415,1,OKC,UTA
Shot Chart Detail,41700171,354,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,7,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,0,20180415,0,OKC,UTA
Shot Chart Detail,41700171,418,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,28,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,11,127,1,0,20180415,0,OKC,UTA
Shot Chart Detail,41700171,429,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,3,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20180415,0,OKC,UTA
Shot Chart Detail,41700171,432,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,3,14,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,143,210,1,1,20180415,1,OKC,UTA
Shot Chart Detail,41700171,436,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,2,38,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,192,181,1,0,20180415,0,OKC,UTA
Shot Chart Detail,41700171,453,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,18,1,0,20180415,0,OKC,UTA
Shot Chart Detail,41700171,457,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,7,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-25,63,1,0,20180415,0,OKC,UTA
Shot Chart Detail,41700171,459,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,1,20180415,0,OKC,UTA
Shot Chart Detail,41700171,526,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,7,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-106,106,1,1,20180415,0,OKC,UTA
Shot Chart Detail,41700171,553,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,5,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-4,1,1,20180415,0,OKC,UTA
Shot Chart Detail,41700171,562,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,4,2,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,26,1,0,20180415,0,OKC,UTA
Shot Chart Detail,41700172,9,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700172,24,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,9,25,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,57,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,54,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,7,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700172,69,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,6,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,11,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,104,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,7,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20180418,1,OKC,UTA
Shot Chart Detail,41700172,133,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,2,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,98,245,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,141,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,1,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-2,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,241,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,23,-210,96,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,281,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,4,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,-1,1,1,20180418,1,OKC,UTA
Shot Chart Detail,41700172,298,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,8,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-9,262,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,349,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,134,220,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,440,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,2,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,10,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,451,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,2,28,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,460,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,24,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,20,75,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,472,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,0,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,12,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700172,479,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,0,1,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-8,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700172,491,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,11,30,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,85,242,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,519,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,9,50,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,74,75,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700172,554,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,7,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,12,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700172,570,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,6,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-123,246,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,583,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,5,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,103,248,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,590,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,4,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20180418,1,OKC,UTA
Shot Chart Detail,41700172,606,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,14,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,626,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,2,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-55,256,1,0,20180418,0,OKC,UTA
Shot Chart Detail,41700172,640,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,1,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-23,48,1,1,20180418,0,OKC,UTA
Shot Chart Detail,41700173,9,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,26,1,1,20180421,1,UTA,OKC
Shot Chart Detail,41700173,47,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,7,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,27,1,1,20180421,1,UTA,OKC
Shot Chart Detail,41700173,64,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,5,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,116,223,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,69,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,53,246,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,90,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,3,22,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,44,58,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,102,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,1,50,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,12,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,188,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,8,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,15,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700173,305,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-153,265,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,337,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,216,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700173,346,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,8,41,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-184,69,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,367,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,8,37,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,363,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,7,41,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700173,380,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,6,30,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,63,67,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,511,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,10,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,11,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700173,527,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,8,52,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,20,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,556,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,6,58,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-5,100,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,558,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,6,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20180421,0,UTA,OKC
Shot Chart Detail,41700173,574,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,5,10,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-139,205,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700173,599,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,2,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,10,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700173,622,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,2,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,171,184,1,1,20180421,0,UTA,OKC
Shot Chart Detail,41700174,9,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-35,286,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,34,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,8,34,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,23,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,53,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,7,51,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-40,253,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,68,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,5,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,5,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,70,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,5,14,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,79,99,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,95,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,3,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,5,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,110,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,3,11,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-187,73,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,230,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,8,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-210,190,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,260,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,20,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,279,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,28,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-27,265,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,308,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,3,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,18,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,327,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,35,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,65,89,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,334,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-3,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,341,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,11,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,370,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,8,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,375,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,8,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,9,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,403,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,6,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,20,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,423,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-127,88,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,437,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,3,49,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-155,185,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,448,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,3,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,4,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,461,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,2,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,127,169,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,467,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-134,209,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,549,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,8,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,34,1,1,20180423,1,UTA,OKC
Shot Chart Detail,41700174,566,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,7,30,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-33,101,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,627,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,4,18,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,26,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,639,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700174,648,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,11,1,0,20180423,0,UTA,OKC
Shot Chart Detail,41700174,662,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,132,224,1,1,20180423,0,UTA,OKC
Shot Chart Detail,41700175,74,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,5,49,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,14,94,1,1,20180425,0,OKC,UTA
Shot Chart Detail,41700175,229,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,6,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-16,176,1,1,20180425,0,OKC,UTA
Shot Chart Detail,41700175,243,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,43,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,290,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,40,247,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,341,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,11,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,48,1,1,20180425,0,OKC,UTA
Shot Chart Detail,41700175,363,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,13,1,1,20180425,1,OKC,UTA
Shot Chart Detail,41700175,419,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,55,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,12,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,423,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,16,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-107,253,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,458,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,3,26,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,22,230,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,478,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,47,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,10,1,1,20180425,0,OKC,UTA
Shot Chart Detail,41700175,484,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,492,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,0,17,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,145,204,1,0,20180425,0,OKC,UTA
Shot Chart Detail,41700175,561,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,7,37,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,52,1,1,20180425,0,OKC,UTA
Shot Chart Detail,41700175,570,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,6,41,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,18,1,0,20180425,0,OKC,UTA
